"sample_reason","scenario_set_name","scenario_name","population_id","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","requested_amount","apr_proxy","loan_term_months","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","estimated_pd","estimated_lgd","expected_loss_amount"
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,2738,APP-00002738,CUST-00002738,2025-02-24,AUTO_LOAN,DEEP_SUBPRIME,535,49909.31,0.5052,0.6567,1,30,6,6,false,false,54317.63,0.190642,84,1175.77,0.282698,1.088327,0.450000,0.450000,10999.32
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,4656,APP-00004656,CUST-00004656,2025-09-19,AUTO_LOAN,DEEP_SUBPRIME,524,28911.73,0.5944,0.6380,8,93,5,0,false,false,16668.53,0.173928,60,417.78,0.173402,0.576532,0.445429,0.450000,3341.09
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,9396,APP-00009396,CUST-00009396,2025-07-04,AUTO_LOAN,DEEP_SUBPRIME,534,88751.63,0.5931,0.7179,5,87,4,2,false,false,37526.12,0.186741,36,1369.38,0.185152,0.422822,0.450000,0.450000,7599.04
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,12148,APP-00012148,CUST-00012148,2025-08-27,AUTO_LOAN,DEEP_SUBPRIME,533,87923.00,0.5036,0.7942,4,20,3,6,false,false,29538.22,0.182995,60,754.90,0.103031,0.335956,0.450000,0.450000,5981.49
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,16019,APP-00016019,CUST-00016019,2025-09-23,AUTO_LOAN,DEEP_SUBPRIME,518,39688.82,0.6327,0.7242,6,84,4,4,false,false,39836.92,0.177391,60,1005.95,0.304151,1.003732,0.450000,0.450000,8066.98
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,20039,APP-00020039,CUST-00020039,2025-11-15,AUTO_LOAN,DEEP_SUBPRIME,553,96036.05,0.5177,0.6303,3,27,4,6,false,false,24743.40,0.193681,60,646.88,0.080830,0.257647,0.450000,0.450000,5010.54
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,20426,APP-00020426,CUST-00020426,2025-04-05,AUTO_LOAN,DEEP_SUBPRIME,527,83050.74,0.5188,0.4980,2,9,3,4,false,false,34703.85,0.180521,48,1020.37,0.147433,0.417863,0.450000,0.450000,7027.53
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,20931,APP-00020931,CUST-00020931,2025-12-19,AUTO_LOAN,DEEP_SUBPRIME,555,93728.95,0.6040,0.5462,6,78,0,1,false,false,61708.71,0.204543,60,1650.54,0.211317,0.658374,0.450000,0.450000,12496.01
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,22625,APP-00022625,CUST-00022625,2025-11-06,AUTO_LOAN,DEEP_SUBPRIME,513,86950.06,0.7000,0.8656,4,8,6,1,true,false,60802.47,0.177621,84,1269.47,0.175200,0.699280,0.450000,0.450000,12312.50
M1_SCENARIO_PRODUCT_SCORE_STRATIFIED_RANDOM,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,24151,APP-00024151,CUST-00024151,2025-01-25,AUTO_LOAN,DEEP_SUBPRIME,561,28225.93,0.3426,0.5426,14,104,4,0,false,false,7471.66,0.194298,48,225.10,0.095699,0.264709,0.335458,0.450000,1127.89
