"sample_reason","module2_run_id","strategy_set_name","strategy_name","strategy_version","strategy_run_id","strategy_run_ts","module1_scenario_set_name","module1_scenario_name","population_id","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","requested_amount","requested_monthly_payment_proxy","requested_payment_to_income_ratio","estimated_pd","estimated_lgd","requested_expected_loss_amount","decision_outcome","decision_path","decision_resolution_source","approval_flag","counteroffer_flag","manual_review_flag","decline_flag","simulated_offer_exposure_flag","approved_amount","counteroffer_amount","exposure_reduction_amount","exposure_reduction_pct","approved_monthly_payment_proxy","approved_payment_to_income_ratio","approved_expected_loss_amount","approved_el_reduction_amount","approved_el_reduction_pct","counteroffer_strategy_variant","ordinary_counteroffer_candidate_flag","aggressive_counteroffer_requested_structure_override_flag","primary_reason_code","secondary_reason_code","tertiary_reason_code","primary_reason_family","reason_code_count"
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00016399,CUST-00016399,2025-01-05,AUTO_LOAN,NEAR_PRIME,685,151929.73,0.3222,33024.99,635.55,0.050198,0.073025,0.450000,1085.24,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,33024.99,,0,0,635.55,0.050198,1085.24,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00038688,CUST-00038688,2025-07-04,AUTO_LOAN,NEAR_PRIME,697,108321.83,0.3270,15690.16,410.52,0.045478,0.074010,0.450000,522.55,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,15690.16,,0,0,410.52,0.045478,522.55,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00000941,CUST-00000941,2025-02-04,AUTO_LOAN,PRIME,731,139100.99,0.3535,8159.24,254.31,0.021939,0.040359,0.450000,148.18,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,8159.24,,0,0,254.31,0.021939,148.18,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00040590,CUST-00040590,2025-06-18,AUTO_LOAN,PRIME,700,187762.85,0.3686,55075.08,845.33,0.054025,0.031608,0.450000,783.37,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,55075.08,,0,0,845.33,0.054025,783.37,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00013423,CUST-00013423,2025-04-25,AUTO_LOAN,SUPER_PRIME,820,214073.58,0.3055,7445.37,109.41,0.006133,0.010225,0.450000,34.26,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,7445.37,,0,0,109.41,0.006133,34.26,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00049465,CUST-00049465,2025-06-05,AUTO_LOAN,SUPER_PRIME,783,142966.80,0.3309,25363.63,372.97,0.031305,0.010499,0.450000,119.83,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,25363.63,,0,0,372.97,0.031305,119.83,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00021590,CUST-00021590,2025-02-14,HELOC,NEAR_PRIME,696,61259.21,0.2872,36603.43,399.42,0.078242,0.070894,0.250000,648.74,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,36603.43,,0,0,399.42,0.078242,648.74,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00044551,CUST-00044551,2025-09-07,HELOC,NEAR_PRIME,665,175171.14,0.3476,87652.17,864.28,0.059207,0.068339,0.250000,1497.52,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,87652.17,,0,0,864.28,0.059207,1497.52,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00008152,CUST-00008152,2025-12-10,HELOC,PRIME,701,128639.98,0.3631,139192.37,1052.29,0.098161,0.033677,0.250000,1171.90,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,139192.37,,0,0,1052.29,0.098161,1171.90,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
M2_CORE_RUN_OUTCOME_PRODUCT_SCORE_STRATIFIED_RANDOM,M2-01,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,M2-01_BASELINE_STRATEGY_V1_0_RUN,2026-05-19 23:12:23.669 -0400,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,APP-00021236,CUST-00021236,2025-09-14,HELOC,PRIME,734,169051.17,0.3250,50518.36,396.68,0.028158,0.039970,0.250000,504.80,APPROVE,APPROVE_AS_REQUESTED,PRELIMINARY_APPROVE_ROUTE,true,false,false,false,true,50518.36,,0,0,396.68,0.028158,504.80,0,0,NOT_COUNTEROFFER_SPLIT_STRATEGY,false,false,APPROVED_AS_REQUESTED,,,APPROVAL,1
