"variable_name","n","min_val","p25","median","mean","p75","max_val","std_dev"
amount_to_income_ratio,50000,0.0066,0.1756,0.4289,1.1480,2.0069,8.8432,1.3314
annual_income,50000,20012.22,81490.85,118422.23,121951.93,162535.36,239997.79,51567.05
base_apr_for_payment_calc,50000,0.0503,0.0929,0.1179,0.1456,0.2053,0.3500,0.0704
credit_score,50000,500.00,623.00,689.00,684.23,744.00,850.00,84.74
debt_to_income_ratio,50000,0.0801,0.3114,0.3887,0.3941,0.4690,0.7000,0.1127
estimated_lgd,50000,0.2000,0.2000,0.4500,0.4923,0.7000,0.8500,0.2652
estimated_pd,50000,0.0084,0.0315,0.0877,0.1679,0.3359,0.4500,0.1699
expected_loss_amount,50000,9.55,619.89,2198.52,4919.61,6794.45,60730.15,6568.13
monthly_payment_proxy,50000,23.71,546.95,967.08,1522.70,1925.15,10275.96,1520.11
months_since_oldest_trade,50000,6.00,66.00,110.00,121.27,170.00,307.00,68.76
payment_to_income_ratio,50000,0.0022,0.0549,0.1127,0.1651,0.2591,1.3265,0.1419
recent_inquiry_count,50000,0.00,1.00,2.00,2.34,4.00,6.00,1.72
requested_amount,50000,1000.00,20741.44,46901.73,134916.33,183517.63,1150399.05,188142.16
tradeline_count,50000,1.00,6.00,8.00,8.60,11.00,25.00,4.12
utilization_rate,50000,0.0000,0.2598,0.3812,0.4003,0.5310,0.9500,0.1880
