"scenario_name","population_id","anchor_date","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","prequalified_flag","returning_customer_flag","requested_amount","loan_term_months","base_apr_for_payment_calc","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","base_pd","mult_delinq","mult_derog","mult_bankruptcy","mult_util","mult_dti","mult_inquiry","mult_tradeline","mult_file_age","mult_pti","mult_amt_income","mult_product","estimated_pd","estimated_lgd","expected_loss_amount","created_ts"
BASELINE,BASE_POPULATION_V1,2025-12-31,16620,APP-00016620,CUST-00016620,2025-10-12,MORTGAGE,SUPER_PRIME,817,232689.51,0.1857,0.3238,10,233,0,0,false,false,false,false,459695.48,360,0.063682,2865.86,0.147795,1.975575,0.010000,1.00,1.00,1.00,1.10,0.95,1.00,1.00,1.00,1.10,1.25,0.90,0.013471,0.200000,1238.51,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,48948,APP-00048948,CUST-00048948,2025-03-18,MORTGAGE,SUPER_PRIME,798,233978.46,0.2631,0.1849,13,258,0,0,false,false,false,false,457539.18,360,0.061786,2795.93,0.143394,1.955476,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.03,1.00,1.10,1.25,0.90,0.012961,0.200000,1186.03,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,5370,APP-00005370,CUST-00005370,2025-01-20,MORTGAGE,SUPER_PRIME,811,236061.16,0.3628,0.2401,6,120,3,0,false,false,false,true,455379.36,360,0.062993,2818.47,0.143275,1.929074,0.010000,1.00,1.00,1.00,1.00,1.10,1.05,1.00,1.00,1.10,1.25,0.90,0.014747,0.200000,1343.10,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,9913,APP-00009913,CUST-00009913,2025-12-25,MORTGAGE,SUPER_PRIME,783,223864.44,0.4715,0.4188,7,61,1,0,false,false,true,true,444624.36,360,0.059896,2662.78,0.142735,1.986132,0.010000,1.00,1.00,1.00,1.10,1.25,1.00,1.00,1.00,1.10,1.25,0.90,0.017497,0.200000,1555.92,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,7101,APP-00007101,CUST-00007101,2025-08-11,MORTGAGE,SUPER_PRIME,814,222118.84,0.2966,0.4691,12,119,2,0,false,false,false,false,435897.82,360,0.063172,2702.98,0.146029,1.962453,0.010000,1.00,1.00,1.00,1.10,1.00,1.05,1.00,1.00,1.10,1.25,0.90,0.013702,0.200000,1194.53,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,23126,APP-00023126,CUST-00023126,2025-05-07,MORTGAGE,SUPER_PRIME,783,208457.58,0.3966,0.2187,19,299,1,0,false,false,false,false,432400.32,360,0.059713,2584.49,0.148778,2.074284,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.08,1.00,1.10,1.25,0.90,0.015068,0.200000,1303.08,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,31002,APP-00031002,CUST-00031002,2025-11-16,MORTGAGE,SUPER_PRIME,802,234744.65,0.2807,0.2403,14,219,3,1,false,false,false,false,428908.70,360,0.061400,2610.26,0.133435,1.827129,0.010000,1.20,1.00,1.00,1.00,1.00,1.05,1.03,1.00,1.10,1.25,0.90,0.016823,0.200000,1443.11,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,14568,APP-00014568,CUST-00014568,2025-03-22,MORTGAGE,SUPER_PRIME,782,221542.23,0.3691,0.1641,6,125,0,0,false,false,false,true,420413.08,360,0.059549,2508.41,0.135870,1.897666,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.10,1.25,0.90,0.013479,0.200000,1133.35,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,47116,APP-00047116,CUST-00047116,2025-05-10,MORTGAGE,SUPER_PRIME,792,228731.24,0.3629,0.1005,16,87,3,0,false,false,false,false,420209.61,360,0.060334,2528.40,0.132648,1.837133,0.010000,1.00,1.00,1.00,1.00,1.10,1.05,1.03,1.00,1.10,1.25,0.90,0.014218,0.200000,1194.91,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,2293,APP-00002293,CUST-00002293,2025-07-11,MORTGAGE,SUPER_PRIME,828,226987.20,0.2879,0.2801,10,68,1,0,false,false,false,false,418747.20,360,0.064345,2628.75,0.138973,1.844805,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,1.25,0.90,0.012555,0.200000,1051.47,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,34987,APP-00034987,CUST-00034987,2025-07-06,MORTGAGE,SUPER_PRIME,770,239481.80,0.3229,0.1609,17,298,1,0,false,false,false,false,417455.14,240,0.058057,2944.17,0.147527,1.743160,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.03,1.00,1.10,1.25,0.90,0.013098,0.200000,1093.57,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,43143,APP-00043143,CUST-00043143,2025-10-09,MORTGAGE,SUPER_PRIME,799,201578.42,0.4108,0.0883,9,105,0,0,false,false,true,false,407240.84,360,0.061377,2477.78,0.147503,2.020260,0.010000,1.00,1.00,1.00,0.95,1.10,1.00,1.00,1.00,1.10,1.25,0.90,0.012819,0.200000,1044.08,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,47470,APP-00047470,CUST-00047470,2025-01-15,MORTGAGE,SUPER_PRIME,831,214237.99,0.3952,0.1690,7,117,1,0,false,false,false,true,406975.29,360,0.064470,2558.19,0.143291,1.899641,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.10,1.25,0.90,0.014144,0.200000,1151.25,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,24009,APP-00024009,CUST-00024009,2025-06-10,MORTGAGE,SUPER_PRIME,831,232285.00,0.2727,0.2596,7,155,1,0,false,false,false,true,406828.60,360,0.064254,2551.51,0.131813,1.751420,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,1.25,0.90,0.012793,0.200000,1040.91,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,16731,APP-00016731,CUST-00016731,2025-09-14,MORTGAGE,SUPER_PRIME,807,230899.08,0.2657,0.1202,8,130,0,0,false,false,false,false,406622.51,360,0.061718,2483.00,0.129043,1.761040,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,1.25,0.90,0.012847,0.200000,1044.78,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,12870,APP-00012870,CUST-00012870,2025-02-19,MORTGAGE,SUPER_PRIME,839,213795.88,0.1648,0.2061,8,214,2,0,false,false,false,false,400985.87,360,0.065334,2543.32,0.142752,1.875555,0.010000,1.00,1.00,1.00,1.00,0.95,1.05,1.00,1.00,1.10,1.25,0.90,0.012784,0.200000,1025.24,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,33669,APP-00033669,CUST-00033669,2025-03-14,MORTGAGE,SUPER_PRIME,791,197041.23,0.3885,0.2402,8,69,1,0,false,false,false,true,397057.76,360,0.060045,2381.71,0.145048,2.015100,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.10,1.25,0.90,0.014048,0.200000,1115.57,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,32145,APP-00032145,CUST-00032145,2025-08-02,MORTGAGE,SUPER_PRIME,816,213802.38,0.3917,0.1428,12,177,1,0,false,false,false,false,396816.03,360,0.062868,2452.77,0.137666,1.855994,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.10,1.25,0.90,0.013419,0.200000,1064.97,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,24566,APP-00024566,CUST-00024566,2025-03-23,MORTGAGE,SUPER_PRIME,768,186297.13,0.3031,0.3004,15,94,3,0,false,false,false,false,394195.73,360,0.057794,2307.79,0.148652,2.115952,0.010000,1.00,1.00,1.00,1.10,1.00,1.05,1.03,1.00,1.10,1.25,0.90,0.015106,0.200000,1190.94,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,24205,APP-00024205,CUST-00024205,2025-02-20,MORTGAGE,SUPER_PRIME,843,226257.31,0.0892,0.0000,11,278,1,0,false,false,false,false,386201.47,360,0.065301,2448.71,0.129872,1.706913,0.010000,1.00,1.00,1.00,0.95,0.95,1.00,1.00,1.00,1.10,1.25,0.90,0.010849,0.200000,837.98,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,49588,APP-00049588,CUST-00049588,2025-12-23,MORTGAGE,SUPER_PRIME,760,201977.04,0.0889,0.2659,6,259,2,0,false,false,false,true,384804.06,360,0.056468,2220.45,0.131923,1.905187,0.010000,1.00,1.00,1.00,1.00,0.95,1.05,1.00,1.00,1.10,1.25,0.90,0.011949,0.200000,919.60,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,20703,APP-00020703,CUST-00020703,2025-10-30,MORTGAGE,SUPER_PRIME,787,229371.26,0.2125,0.2790,13,68,3,0,false,false,true,false,384673.37,360,0.059039,2282.60,0.119419,1.677077,0.010000,1.00,1.00,1.00,1.00,1.00,1.05,1.03,1.00,1.10,1.25,0.90,0.013570,0.200000,1044.00,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,20216,APP-00020216,CUST-00020216,2025-04-20,MORTGAGE,SUPER_PRIME,774,205608.69,0.2915,0.1054,11,180,0,0,false,false,false,false,384600.73,360,0.057935,2255.06,0.131613,1.870547,0.010000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,1.25,0.90,0.012660,0.200000,973.81,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,10180,APP-00010180,CUST-00010180,2025-05-24,MORTGAGE,SUPER_PRIME,784,221763.45,0.2371,0.2937,13,149,2,0,false,false,false,false,380639.58,360,0.058807,2253.01,0.121914,1.716422,0.010000,1.00,1.00,1.00,1.00,1.00,1.05,1.03,1.00,1.10,1.25,0.90,0.013813,0.200000,1051.55,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,8691,APP-00008691,CUST-00008691,2025-10-22,MORTGAGE,SUPER_PRIME,787,234567.97,0.2468,0.1973,12,227,2,0,false,false,false,false,375344.73,360,0.059053,2227.58,0.113958,1.600153,0.010000,1.00,1.00,1.00,1.00,1.00,1.05,1.00,1.00,1.10,1.25,0.90,0.012422,0.200000,932.51,2026-04-23 08:27:11.250 -0400
