"scenario_name","population_id","anchor_date","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","prequalified_flag","returning_customer_flag","requested_amount","loan_term_months","base_apr_for_payment_calc","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","base_pd","mult_delinq","mult_derog","mult_bankruptcy","mult_util","mult_dti","mult_inquiry","mult_tradeline","mult_file_age","mult_pti","mult_amt_income","mult_product","estimated_pd","estimated_lgd","expected_loss_amount","created_ts"
BASELINE,BASE_POPULATION_V1,2025-12-31,47107,APP-00047107,CUST-00047107,2025-12-13,MORTGAGE,PRIME,757,197937.01,0.2276,0.4284,5,49,3,0,false,false,false,true,955623.50,180,0.097917,10147.75,0.615211,4.827917,0.025000,1.00,1.00,1.00,1.10,1.00,1.05,1.05,1.05,1.45,1.25,0.90,0.050229,0.200000,9600.00,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,48322,APP-00048322,CUST-00048322,2025-05-05,MORTGAGE,PRIME,757,202064.49,0.4352,0.1700,7,157,4,0,false,false,false,false,962777.86,180,0.098808,10275.96,0.610258,4.764706,0.025000,1.00,1.00,1.00,1.00,1.10,1.12,1.00,1.00,1.45,1.25,0.90,0.049375,0.200000,9507.43,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,4893,APP-00004893,CUST-00004893,2025-05-08,MORTGAGE,PRIME,745,190462.04,0.2201,0.3230,10,217,4,0,false,false,false,false,905037.16,180,0.093665,9377.85,0.590848,4.751798,0.025000,1.00,1.00,1.00,1.10,1.00,1.12,1.00,1.00,1.45,1.25,0.90,0.051586,0.200000,9337.45,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,6235,APP-00006235,CUST-00006235,2025-08-18,MORTGAGE,PRIME,745,188406.18,0.3550,0.1993,13,236,1,1,false,false,false,false,890487.46,180,0.094313,9261.81,0.589905,4.726424,0.025000,1.20,1.00,1.00,1.00,1.10,1.00,1.03,1.00,1.45,1.25,0.90,0.057766,0.200000,10287.98,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,1222,APP-00001222,CUST-00001222,2025-01-10,MORTGAGE,PRIME,748,184394.62,0.3533,0.3099,9,120,0,0,false,false,false,false,862475.10,180,0.095676,9041.39,0.588394,4.677333,0.025000,1.00,1.00,1.00,1.10,1.10,1.00,1.00,1.00,1.45,1.25,0.90,0.048916,0.200000,8437.77,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,1552,APP-00001552,CUST-00001552,2025-12-28,MORTGAGE,PRIME,741,200018.21,0.2529,0.2171,10,119,2,0,false,false,false,false,945466.48,180,0.092862,9751.19,0.585018,4.726902,0.025000,1.00,1.00,1.00,1.00,1.00,1.05,1.00,1.00,1.45,1.25,0.90,0.043866,0.200000,8294.77,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,28616,APP-00028616,CUST-00028616,2025-07-21,MORTGAGE,PRIME,726,195856.84,0.4533,0.4001,5,95,0,0,false,false,false,true,943847.55,180,0.088427,9485.01,0.581139,4.819069,0.025000,1.00,1.00,1.00,1.10,1.25,1.00,1.05,1.00,1.45,1.25,0.90,0.059453,0.200000,11222.91,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,14649,APP-00014649,CUST-00014649,2025-07-21,MORTGAGE,PRIME,749,179303.94,0.2700,0.3712,14,242,0,0,false,false,false,false,827640.91,180,0.094119,8598.49,0.575458,4.615855,0.025000,1.00,1.00,1.00,1.10,1.00,1.00,1.03,1.00,1.45,1.25,0.90,0.047534,0.200000,7868.22,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,41873,APP-00041873,CUST-00041873,2025-02-01,MORTGAGE,PRIME,738,202331.69,0.2309,0.3126,13,57,2,0,false,false,false,false,942181.23,180,0.092050,9671.47,0.573601,4.656617,0.025000,1.00,1.00,1.00,1.10,1.00,1.05,1.03,1.05,1.45,1.25,0.90,0.050437,0.200000,9504.16,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,45156,APP-00045156,CUST-00045156,2025-04-20,MORTGAGE,PRIME,719,194647.17,0.4224,0.2446,14,207,2,0,false,false,false,false,935065.37,180,0.086620,9296.97,0.573158,4.803899,0.025000,1.00,1.00,1.00,1.00,1.10,1.05,1.03,1.00,1.45,1.25,0.90,0.047766,0.200000,8932.87,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,15866,APP-00015866,CUST-00015866,2025-09-05,MORTGAGE,PRIME,723,197328.30,0.4520,0.2219,9,157,3,0,false,false,true,false,943953.33,180,0.087263,9421.12,0.572921,4.783669,0.025000,1.00,1.00,1.00,1.00,1.25,1.05,1.00,1.00,1.45,1.25,0.90,0.053785,0.200000,10154.11,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,41014,APP-00041014,CUST-00041014,2025-02-26,MORTGAGE,PRIME,757,169665.04,0.4017,0.3647,6,186,4,0,false,false,false,true,763836.50,180,0.097450,8089.48,0.572149,4.502026,0.025000,1.00,1.00,1.00,1.10,1.10,1.12,1.00,1.00,1.45,1.25,0.90,0.054231,0.200000,8284.72,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,38929,APP-00038929,CUST-00038929,2025-09-09,MORTGAGE,PRIME,747,177723.27,0.1847,0.4628,7,110,1,0,true,false,false,false,816985.75,180,0.093587,8461.65,0.571337,4.596954,0.025000,1.00,1.60,1.00,1.10,0.95,1.00,1.00,1.00,1.45,1.25,0.90,0.068419,0.200000,11179.47,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,40641,APP-00040641,CUST-00040641,2025-03-28,MORTGAGE,PRIME,751,172850.14,0.2747,0.3551,8,244,4,0,false,false,false,false,784611.70,180,0.095392,8211.68,0.570090,4.539260,0.025000,1.00,1.00,1.00,1.10,1.00,1.12,1.00,1.00,1.45,1.25,0.90,0.050243,0.200000,7884.25,2026-04-23 08:27:11.250 -0400
