"product_type","score_band","applications","avg_pd","avg_expected_loss"
AUTO_LOAN,DEEP_SUBPRIME,1240,0.4494,8003.76
AUTO_LOAN,NEAR_PRIME,2390,0.1200,2506.97
AUTO_LOAN,PRIME,2771,0.0361,775.82
AUTO_LOAN,SUBPRIME,1759,0.3707,7028.84
AUTO_LOAN,SUPER_PRIME,1786,0.0119,256.74
HELOC,DEEP_SUBPRIME,666,0.4495,14054.74
HELOC,NEAR_PRIME,1176,0.1345,5195.11
HELOC,PRIME,1326,0.0398,1556.18
HELOC,SUBPRIME,894,0.3930,13558.14
HELOC,SUPER_PRIME,900,0.0130,532.17
MORTGAGE,DEEP_SUBPRIME,1750,0.4500,12945.22
MORTGAGE,NEAR_PRIME,3644,0.1546,10659.97
MORTGAGE,PRIME,4285,0.0474,4151.39
MORTGAGE,SUBPRIME,2639,0.4089,18924.90
MORTGAGE,SUPER_PRIME,2747,0.0162,1661.92
REVOLVING_LINE,DEEP_SUBPRIME,1506,0.4495,5726.73
REVOLVING_LINE,NEAR_PRIME,3025,0.1143,1709.54
REVOLVING_LINE,PRIME,3514,0.0355,554.01
REVOLVING_LINE,SUBPRIME,2220,0.3558,5068.80
REVOLVING_LINE,SUPER_PRIME,2190,0.0122,200.95
UNSECURED_PERSONAL_LOAN,DEEP_SUBPRIME,892,0.4498,7702.64
UNSECURED_PERSONAL_LOAN,NEAR_PRIME,1838,0.1262,2604.68
UNSECURED_PERSONAL_LOAN,PRIME,2091,0.0382,822.76
UNSECURED_PERSONAL_LOAN,SUBPRIME,1390,0.3816,7160.03
UNSECURED_PERSONAL_LOAN,SUPER_PRIME,1361,0.0128,291.17
