"scenario_name","population_id","anchor_date","application_seq","application_id","applicant_id","application_date","product_type","score_band","credit_score","annual_income","debt_to_income_ratio","utilization_rate","tradeline_count","months_since_oldest_trade","recent_inquiry_count","delinquency_count_12m","major_derogatory_flag","bankruptcy_flag","prequalified_flag","returning_customer_flag","requested_amount","loan_term_months","base_apr_for_payment_calc","monthly_payment_proxy","payment_to_income_ratio","amount_to_income_ratio","base_pd","mult_delinq","mult_derog","mult_bankruptcy","mult_util","mult_dti","mult_inquiry","mult_tradeline","mult_file_age","mult_pti","mult_amt_income","mult_product","estimated_pd","estimated_lgd","expected_loss_amount","created_ts"
BASELINE,BASE_POPULATION_V1,2025-12-31,1,APP-00000001,CUST-00000001,2025-07-02,REVOLVING_LINE,PRIME,702,143421.83,0.1722,0.2593,6,129,3,0,false,false,false,true,29862.39,,0.216176,895.87,0.074957,0.208214,0.025000,1.00,1.00,1.00,1.00,0.95,1.05,1.00,1.00,1.00,1.03,1.12,0.028597,0.850000,725.88,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,2,APP-00000002,CUST-00000002,2025-06-15,MORTGAGE,DEEP_SUBPRIME,534,66567.94,0.4861,0.8132,4,43,5,2,false,false,true,false,97410.31,180,0.100000,1046.78,0.188700,1.463322,0.260000,1.45,1.00,1.00,1.45,1.25,1.12,1.05,1.05,1.25,1.25,0.90,0.450000,0.200000,8766.93,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,3,APP-00000003,CUST-00000003,2025-04-03,MORTGAGE,PRIME,750,143316.78,0.3867,0.4213,8,65,2,0,false,false,false,false,603272.39,240,0.089354,5402.76,0.452376,4.209363,0.025000,1.00,1.00,1.00,1.10,1.10,1.05,1.00,1.00,1.45,1.25,0.90,0.049255,0.200000,5942.84,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,4,APP-00000004,CUST-00000004,2025-08-21,AUTO_LOAN,SUPER_PRIME,761,181071.90,0.3441,0.0919,6,260,3,0,false,false,false,true,10801.14,48,0.056441,251.91,0.016695,0.059651,0.010000,1.00,1.00,1.00,0.95,1.00,1.05,1.00,1.00,0.95,1.00,1.00,0.009742,0.450000,47.35,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,5,APP-00000005,CUST-00000005,2025-01-02,MORTGAGE,SUPER_PRIME,789,211964.20,0.3469,0.2079,17,241,3,1,false,false,false,false,904114.89,240,0.070458,7034.47,0.398245,4.265413,0.010000,1.20,1.00,1.00,1.00,1.00,1.05,1.03,1.00,1.45,1.25,0.90,0.022180,0.200000,4010.65,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,6,APP-00000006,CUST-00000006,2025-06-18,REVOLVING_LINE,SUPER_PRIME,839,109525.54,0.2895,0.1745,22,295,2,0,false,false,true,false,25916.33,,0.213287,777.49,0.085185,0.236624,0.010000,1.00,1.00,1.00,1.00,1.00,1.05,1.08,1.00,1.00,1.03,1.12,0.012578,0.850000,277.08,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,7,APP-00000007,CUST-00000007,2025-07-02,MORTGAGE,PRIME,738,206566.49,0.3792,0.3077,13,221,3,2,false,false,false,false,635624.98,360,0.083784,4832.73,0.280746,3.077096,0.025000,1.45,1.00,1.00,1.10,1.10,1.05,1.03,1.00,1.45,1.25,0.90,0.080963,0.200000,10292.42,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,8,APP-00000008,CUST-00000008,2025-12-14,MORTGAGE,DEEP_SUBPRIME,553,93864.47,0.4160,0.8603,3,52,3,2,false,false,false,false,244243.89,180,0.100000,2624.66,0.335547,2.602091,0.260000,1.45,1.00,1.00,1.45,1.10,1.05,1.05,1.05,1.45,1.25,0.90,0.450000,0.200000,21981.95,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,9,APP-00000009,CUST-00000009,2025-01-29,AUTO_LOAN,SUPER_PRIME,821,225454.97,0.3726,0.1239,17,174,0,0,false,false,true,false,26323.86,84,0.065468,391.49,0.020837,0.116759,0.010000,1.00,1.00,1.00,1.00,1.10,1.00,1.03,1.00,0.95,1.03,1.00,0.011042,0.450000,130.80,2026-04-23 08:27:11.250 -0400
BASELINE,BASE_POPULATION_V1,2025-12-31,10,APP-00000010,CUST-00000010,2025-11-09,AUTO_LOAN,SUBPRIME,581,33800.72,0.3941,0.3743,6,108,0,1,false,false,false,false,26298.25,36,0.123249,877.56,0.311553,0.778038,0.140000,1.20,1.00,1.00,1.10,1.10,1.00,1.00,1.00,1.45,1.15,1.00,0.333496,0.450000,3946.66,2026-04-23 08:27:11.250 -0400
